iter	RMSE
0	1.623463376
1	1.620296266
2	1.617545251
3	1.61519784
4	1.613011607
5	1.611308199
6	1.61006687
7	1.608870166
8	1.607901561
9	1.607072829
10	1.606334148
11	1.605694785
12	1.60511721
13	1.60456762
14	1.604202096
15	1.603843029
16	1.603489539
17	1.603238083
18	1.602874974
19	1.602628683
20	1.60238102
21	1.602183985
22	1.602076719
23	1.601919836
24	1.601740151
25	1.601623807
26	1.601399267
27	1.601238589
28	1.601121443
29	1.600989973
30	1.60085906
31	1.600748208
32	1.600616074
33	1.600481911
34	1.600433742
35	1.600345369
36	1.600263379
37	1.600176783
38	1.600083079
39	1.599973469
40	1.599927075
41	1.599813541
42	1.599742376
43	1.599676864
44	1.599576388
45	1.599503586
46	1.599406053
47	1.599361414
48	1.59929119
49	1.599230172
50	1.599201784
51	1.599092505
52	1.599041997
53	1.598978036
54	1.598829609
55	1.59875632
56	1.598712369
57	1.598629986
58	1.598538173
59	1.598482785
60	1.598448491
61	1.598391338
62	1.598336797
63	1.598261572
64	1.598190859
65	1.598129453
66	1.598076706
67	1.598035358
68	1.59799738
69	1.597911226
70	1.59786982
71	1.597763879
72	1.597704099
73	1.59768067
74	1.597643988
75	1.597626038
76	1.597588174
77	1.597548946
78	1.597452728
79	1.597436246
80	1.597409613
81	1.597332778
82	1.59731159
83	1.597271153
84	1.597191182
85	1.597092272
86	1.596978247
87	1.596925487
88	1.596858168
89	1.596840431
90	1.59675395
91	1.596686184
92	1.596631429
93	1.596579839
94	1.59653592
95	1.596445448
96	1.596332875
97	1.596298103
98	1.596187982
99	1.596137311
100	1.596089359
101	1.595998962
102	1.595875034
103	1.595763828
104	1.595696273
105	1.595599792
106	1.595545279
107	1.595474119
108	1.59539129
109	1.595306955
110	1.595154746
111	1.595046294
112	1.59493344
113	1.594770255
114	1.594699592
115	1.59463143
116	1.594501282
117	1.594409564
118	1.59428127
119	1.59418318
120	1.59410556
121	1.594045799
122	1.59393332
123	1.593809796
124	1.593665534
125	1.593544132
126	1.593459443
127	1.59332012
128	1.59322414
129	1.593157818
130	1.593017221
131	1.59290521
132	1.592813857
133	1.592705759
134	1.592613247
135	1.59248689
136	1.592388957
137	1.592283218
138	1.592171298
139	1.59207521
140	1.592001174
141	1.591936196
142	1.591847729
143	1.591735531
144	1.591634143
145	1.59146671
146	1.591372655
147	1.591261013
148	1.59112726
149	1.591037085
150	1.590856076
151	1.590689968
152	1.590558305
153	1.590416039
154	1.590298287
