iter	Passed	Remaining
0	142	71160
1	145	36220
2	148	24565
3	151	18755
4	154	15261
5	157	12952
6	160	11272
7	163	10042
8	166	9066
9	168	8277
10	171	7619
11	173	7075
12	176	6623
13	179	6227
14	182	5892
15	184	5593
16	187	5325
17	189	5087
18	192	4870
19	195	4681
20	197	4510
21	200	4354
22	202	4209
23	205	4079
24	208	3954
25	210	3845
26	213	3743
27	216	3642
28	218	3547
29	220	3460
30	223	3382
31	226	3309
32	229	3241
33	231	3175
34	234	3109
35	236	3050
36	239	2993
37	241	2941
38	244	2888
39	247	2840
40	249	2793
41	252	2750
42	254	2707
43	257	2664
44	259	2625
45	262	2588
46	264	2552
47	267	2517
48	269	2481
49	272	2450
50	274	2420
51	277	2389
52	279	2360
53	282	2331
54	285	2306
55	287	2281
56	290	2260
57	293	2237
58	296	2213
59	298	2188
60	301	2167
61	303	2145
62	306	2123
63	308	2103
64	311	2083
65	313	2063
66	316	2043
67	318	2026
68	321	2007
69	324	1990
70	326	1973
71	329	1957
72	332	1943
73	335	1928
74	337	1913
75	340	1898
76	342	1882
77	345	1869
78	347	1854
79	350	1841
80	353	1827
81	356	1815
82	358	1802
83	361	1789
84	364	1777
85	366	1764
86	368	1751
87	371	1739
88	374	1728
89	377	1717
90	379	1706
91	382	1695
92	384	1683
93	387	1673
94	390	1662
95	392	1653
96	395	1643
97	398	1633
98	400	1622
99	403	1612
100	405	1601
101	407	1591
102	410	1581
103	412	1570
104	414	1559
105	416	1549
106	419	1540
107	422	1531
108	424	1523
109	427	1514
110	429	1505
111	431	1496
112	434	1487
113	436	1477
114	438	1468
115	440	1459
116	442	1449
117	445	1441
118	447	1433
119	450	1425
120	452	1417
121	454	1409
122	457	1400
123	459	1392
124	461	1384
125	463	1376
126	466	1368
127	468	1360
128	470	1353
129	472	1345
130	474	1337
131	477	1330
132	479	1323
133	481	1316
134	484	1308
135	486	1301
136	488	1294
137	490	1287
138	493	1280
139	495	1273
140	497	1266
141	499	1260
142	502	1253
143	504	1246
144	506	1240
145	508	1233
146	511	1227
147	513	1220
148	515	1214
149	517	1208
150	519	1201
151	521	1195
152	524	1188
153	526	1182
154	529	1177
155	531	1171
156	534	1166
157	536	1161
158	539	1155
159	541	1150
160	543	1145
161	546	1139
162	548	1134
163	550	1128
164	553	1123
165	555	1117
166	558	1113
167	560	1108
168	563	1103
169	565	1098
170	568	1093
171	570	1088
172	573	1083
173	575	1077
174	577	1072
175	579	1067
176	582	1062
177	584	1057
178	586	1052
179	589	1047
180	591	1042
181	593	1036
182	595	1031
183	597	1026
184	600	1021
185	602	1017
186	604	1012
187	607	1007
188	609	1002
189	611	997
190	613	992
191	616	988
192	618	983
193	620	979
194	623	974
195	625	969
196	627	965
197	629	960
198	632	956
199	634	952
200	636	947
201	639	942
202	641	938
203	643	933
204	645	929
205	648	925
206	650	921
207	652	916
208	655	912
209	657	908
210	660	904
211	662	900
212	665	896
213	667	892
214	669	888
215	672	883
216	674	879
217	676	875
218	678	871
219	681	866
220	683	862
221	685	858
222	687	854
223	689	849
224	692	845
225	694	841
226	696	837
227	698	833
228	700	829
229	702	825
230	705	821
231	707	817
232	710	813
233	712	809
234	714	806
235	717	802
236	719	798
237	721	794
238	724	790
239	726	786
240	728	782
241	730	778
242	732	775
243	735	771
244	737	767
245	739	763
246	741	759
247	744	756
248	746	752
249	748	748
250	750	744
251	753	741
252	755	737
253	757	734
254	760	730
255	762	726
256	764	723
257	767	719
258	769	716
259	772	712
260	774	709
261	777	706
262	779	702
263	782	699
264	784	695
265	787	692
266	789	688
267	791	685
268	793	681
269	795	677
270	798	674
271	800	670
272	802	667
273	804	663
274	807	660
275	809	656
276	811	653
277	813	649
278	815	646
279	818	642
280	820	639
281	822	635
282	824	632
283	826	628
284	829	625
285	831	622
286	833	618
287	836	615
288	838	612
289	840	608
290	842	605
291	845	601
292	847	598
293	849	595
294	851	592
295	854	588
296	856	585
297	858	582
298	860	578
299	863	575
300	865	572
301	867	569
302	870	565
303	872	562
304	874	559
305	877	556
306	879	553
307	882	550
308	884	546
309	887	543
310	889	540
311	891	537
312	894	534
313	896	530
314	898	527
315	900	524
316	903	521
317	905	518
318	907	514
319	909	511
320	912	508
321	914	505
322	916	502
323	918	499
324	921	496
325	923	492
326	925	489
327	928	486
328	930	483
329	932	480
330	934	477
331	937	474
332	939	471
333	942	468
334	944	465
335	946	462
336	949	459
337	951	456
338	953	452
339	956	449
340	958	446
341	960	443
342	963	440
343	965	437
344	967	434
345	970	431
346	972	428
347	974	425
348	977	422
349	979	419
350	981	416
351	984	413
352	986	410
353	988	407
354	991	404
355	993	401
356	995	398
357	998	396
358	1001	393
359	1004	390
360	1006	387
361	1009	384
362	1011	381
363	1014	378
364	1016	375
365	1018	372
366	1020	369
367	1022	366
368	1025	363
369	1027	361
370	1030	358
371	1032	355
372	1034	352
373	1036	349
374	1038	346
375	1041	343
376	1043	340
377	1045	337
378	1047	334
379	1050	331
380	1052	328
381	1054	325
382	1056	322
383	1059	320
384	1061	317
385	1063	314
386	1065	311
387	1068	308
388	1070	305
389	1072	302
390	1074	299
391	1076	296
392	1079	293
393	1081	290
394	1083	288
395	1085	285
396	1087	282
397	1090	279
398	1092	276
399	1095	273
400	1097	270
401	1099	268
402	1101	265
403	1104	262
404	1106	259
405	1109	256
406	1112	254
407	1114	251
408	1116	248
409	1119	245
410	1121	242
411	1123	239
412	1125	237
413	1127	234
414	1130	231
415	1132	228
416	1134	225
417	1137	223
418	1139	220
419	1141	217
420	1143	214
421	1145	211
422	1147	208
423	1150	206
424	1152	203
425	1155	200
426	1157	197
427	1159	195
428	1161	192
429	1164	189
430	1166	186
431	1168	183
432	1170	181
433	1173	178
434	1175	175
435	1177	172
436	1180	170
437	1182	167
438	1184	164
439	1187	161
440	1189	159
441	1191	156
442	1193	153
443	1196	150
444	1198	148
445	1200	145
446	1202	142
447	1204	139
448	1207	137
449	1209	134
450	1211	131
451	1214	128
452	1216	126
453	1218	123
454	1221	120
455	1223	118
456	1226	115
457	1228	112
458	1231	109
459	1234	107
460	1236	104
461	1239	101
462	1242	99
463	1244	96
464	1247	93
465	1249	91
466	1251	88
467	1253	85
468	1256	83
469	1258	80
470	1260	77
471	1262	74
472	1265	72
473	1267	69
474	1269	66
475	1271	64
476	1274	61
477	1276	58
478	1278	56
479	1280	53
480	1283	50
481	1285	48
482	1287	45
483	1290	42
484	1292	39
485	1294	37
486	1296	34
487	1299	31
488	1301	29
489	1303	26
490	1306	23
491	1308	21
492	1310	18
493	1312	15
494	1315	13
495	1317	10
496	1319	7
497	1322	5
498	1324	2
499	1326	0
